Actif_ID,Nom,Type,Environnement,Criticite
ACT-001,Actif_1,Serveur,Production,Haute
ACT-002,Actif_2,Poste,Production,Moyenne
ACT-003,Actif_3,Serveur,Développement,Basse
ACT-004,Actif_4,Réseau,Test,Basse
ACT-005,Actif_5,Serveur,Production,Moyenne
ACT-006,Actif_6,Poste,Développement,Basse
ACT-007,Actif_7,Réseau,Production,Critique
ACT-008,Actif_8,Poste,Test,Haute
ACT-009,Actif_9,Serveur,Production,Critique
ACT-010,Actif_10,Application,Test,Moyenne
ACT-011,Actif_11,Poste,Test,Basse
ACT-012,Actif_12,Serveur,Test,Basse
ACT-013,Actif_13,Application,Test,Haute
ACT-014,Actif_14,Serveur,Développement,Critique
ACT-015,Actif_15,Réseau,Production,Critique
ACT-016,Actif_16,Serveur,Développement,Haute
ACT-017,Actif_17,Réseau,Test,Moyenne
ACT-018,Actif_18,Serveur,Production,Moyenne
ACT-019,Actif_19,Application,Production,Moyenne
ACT-020,Actif_20,Serveur,Test,Haute
ACT-021,Actif_21,BDD,Développement,Haute
ACT-022,Actif_22,Poste,Test,Haute
ACT-023,Actif_23,Poste,Développement,Haute
ACT-024,Actif_24,Serveur,Développement,Moyenne
ACT-025,Actif_25,Réseau,Développement,Moyenne
ACT-026,Actif_26,Poste,Test,Critique
ACT-027,Actif_27,Application,Développement,Moyenne
ACT-028,Actif_28,Application,Production,Moyenne
ACT-029,Actif_29,Serveur,Test,Critique
ACT-030,Actif_30,Application,Production,Moyenne
ACT-031,Actif_31,Réseau,Développement,Haute
ACT-032,Actif_32,Poste,Développement,Critique
ACT-033,Actif_33,BDD,Développement,Critique
ACT-034,Actif_34,Poste,Test,Moyenne
ACT-035,Actif_35,Poste,Développement,Haute
ACT-036,Actif_36,Réseau,Test,Critique
ACT-037,Actif_37,Application,Production,Moyenne
ACT-038,Actif_38,Réseau,Test,Basse
ACT-039,Actif_39,Serveur,Production,Moyenne
ACT-040,Actif_40,Poste,Développement,Critique
ACT-041,Actif_41,Réseau,Production,Critique
ACT-042,Actif_42,BDD,Développement,Critique
ACT-043,Actif_43,Réseau,Test,Basse
ACT-044,Actif_44,Serveur,Développement,Haute
ACT-045,Actif_45,Application,Production,Haute
ACT-046,Actif_46,BDD,Production,Critique
ACT-047,Actif_47,Serveur,Développement,Haute
ACT-048,Actif_48,Réseau,Production,Basse
ACT-049,Actif_49,Application,Développement,Moyenne
ACT-050,Actif_50,Poste,Test,Moyenne
ACT-051,Actif_51,Réseau,Développement,Basse
ACT-052,Actif_52,Réseau,Test,Critique
ACT-053,Actif_53,Serveur,Production,Haute
ACT-054,Actif_54,Application,Production,Basse
ACT-055,Actif_55,Poste,Développement,Basse
ACT-056,Actif_56,Serveur,Développement,Critique
ACT-057,Actif_57,Serveur,Développement,Moyenne
ACT-058,Actif_58,Poste,Développement,Critique
ACT-059,Actif_59,Réseau,Production,Haute
ACT-060,Actif_60,Réseau,Développement,Critique
