Incident_ID,Date,Type,Gravite,Statut,Actif_ID,Temps_Resolution_Heures
INC-0001,2025-07-06,Applicatif,Haute,Fermé,ACT-026,48
INC-0002,2025-06-13,BDD,Basse,Résolu,ACT-015,9
INC-0003,2025-08-25,Matériel,Basse,Résolu,ACT-015,1
INC-0004,2025-10-08,Réseau,Basse,Ouvert,ACT-058,0
INC-0005,2024-12-04,Réseau,Moyenne,Ouvert,ACT-018,0
INC-0006,2024-08-07,Matériel,Basse,Résolu,ACT-060,61
INC-0007,2025-04-29,BDD,Basse,En cours,ACT-007,0
INC-0008,2024-12-28,BDD,Moyenne,Résolu,ACT-056,7
INC-0009,2025-10-23,Réseau,Basse,Résolu,ACT-047,44
INC-0010,2024-04-21,Applicatif,Basse,Fermé,ACT-035,58
INC-0011,2024-07-06,Sécurité,Moyenne,En cours,ACT-056,0
INC-0012,2025-03-29,Matériel,Basse,Fermé,ACT-042,70
INC-0013,2024-04-05,Applicatif,Basse,Fermé,ACT-032,62
INC-0014,2025-02-14,Réseau,Basse,En cours,ACT-001,0
INC-0015,2024-09-28,BDD,Basse,Fermé,ACT-045,72
INC-0016,2025-05-13,Applicatif,Basse,Résolu,ACT-014,8
INC-0017,2025-07-09,Réseau,Haute,Résolu,ACT-004,7
INC-0018,2025-05-29,Matériel,Basse,Résolu,ACT-033,11
INC-0019,2024-03-11,Matériel,Basse,Fermé,ACT-056,31
INC-0020,2025-08-06,Applicatif,Moyenne,Résolu,ACT-003,11
INC-0021,2025-08-20,Matériel,Moyenne,Résolu,ACT-060,34
INC-0022,2024-11-17,Applicatif,Basse,En cours,ACT-009,0
INC-0023,2024-11-03,BDD,Moyenne,Résolu,ACT-049,10
INC-0024,2025-09-28,Matériel,Critique,Ouvert,ACT-005,0
INC-0025,2025-06-02,Sécurité,Basse,Résolu,ACT-023,9
INC-0026,2025-01-13,Sécurité,Basse,Fermé,ACT-054,70
INC-0027,2025-09-18,Matériel,Basse,Fermé,ACT-053,71
INC-0028,2025-11-10,Réseau,Critique,En cours,ACT-009,0
INC-0029,2024-04-19,Matériel,Basse,En cours,ACT-019,0
INC-0030,2024-12-17,Applicatif,Moyenne,Résolu,ACT-055,34
INC-0031,2024-09-14,Réseau,Basse,Résolu,ACT-028,36
INC-0032,2024-12-07,Applicatif,Moyenne,Ouvert,ACT-017,0
INC-0033,2025-03-28,Matériel,Haute,En cours,ACT-036,0
INC-0034,2024-03-18,Applicatif,Moyenne,Ouvert,ACT-054,0
INC-0035,2025-07-19,Applicatif,Moyenne,Résolu,ACT-003,40
INC-0036,2024-02-10,Sécurité,Basse,Résolu,ACT-016,14
INC-0037,2025-07-27,BDD,Critique,Résolu,ACT-048,20
INC-0038,2024-08-30,Applicatif,Critique,Fermé,ACT-052,23
