Vuln_ID,Date_Detection,CVE,CVSS_Score,Criticite,Statut,Actif_ID
VUL-0001,2024-09-27,CVE-2024-4834,3.1,Basse,Ouverte,ACT-014
VUL-0002,2025-01-04,CVE-2024-8695,5.7,Moyenne,Corrigée,ACT-057
VUL-0003,2025-10-26,CVE-2024-2691,1.4,Basse,Corrigée,ACT-034
VUL-0004,2024-10-07,CVE-2025-5314,6.7,Moyenne,En cours,ACT-037
VUL-0005,2025-10-31,CVE-2024-6985,2.6,Basse,En cours,ACT-058
VUL-0006,2025-06-13,CVE-2024-7165,8.5,Haute,Corrigée,ACT-015
VUL-0007,2024-12-27,CVE-2024-8976,5.6,Moyenne,Corrigée,ACT-057
VUL-0008,2025-05-28,CVE-2023-8207,6.4,Moyenne,Ouverte,ACT-005
VUL-0009,2024-10-14,CVE-2023-3461,5.6,Moyenne,Ouverte,ACT-024
VUL-0010,2024-05-01,CVE-2025-4773,6.4,Moyenne,En cours,ACT-022
VUL-0011,2025-05-08,CVE-2025-8844,7.5,Haute,En cours,ACT-038
VUL-0012,2025-02-24,CVE-2023-4992,2.5,Basse,Ouverte,ACT-037
VUL-0013,2024-05-17,CVE-2025-9399,6.3,Moyenne,Ouverte,ACT-037
VUL-0014,2024-06-19,CVE-2024-3949,2.3,Basse,En cours,ACT-026
VUL-0015,2025-07-31,CVE-2025-1305,6.4,Moyenne,Corrigée,ACT-047
VUL-0016,2024-10-17,CVE-2023-4548,7.0,Haute,En cours,ACT-031
VUL-0017,2024-06-23,CVE-2023-7730,8.8,Haute,Corrigée,ACT-051
VUL-0018,2024-07-05,CVE-2025-9369,6.2,Moyenne,Ouverte,ACT-047
VUL-0019,2025-04-09,CVE-2025-2127,7.2,Haute,Ouverte,ACT-025
VUL-0020,2024-01-17,CVE-2023-9564,2.2,Basse,Corrigée,ACT-033
VUL-0021,2024-06-02,CVE-2025-2577,7.2,Haute,Ouverte,ACT-058
VUL-0022,2024-02-09,CVE-2025-9246,6.5,Moyenne,Corrigée,ACT-006
VUL-0023,2024-05-13,CVE-2025-9835,5.3,Moyenne,Corrigée,ACT-058
VUL-0024,2025-11-25,CVE-2025-8069,9.4,Critique,En cours,ACT-024
VUL-0025,2025-12-15,CVE-2025-8028,8.9,Haute,Ouverte,ACT-052
VUL-0026,2025-01-25,CVE-2024-2600,5.3,Moyenne,En cours,ACT-017
VUL-0027,2024-08-26,CVE-2023-5641,5.3,Moyenne,En cours,ACT-035
VUL-0028,2024-07-12,CVE-2023-1116,4.7,Moyenne,En cours,ACT-008
VUL-0029,2025-01-19,CVE-2025-4365,5.7,Moyenne,Corrigée,ACT-021
VUL-0030,2024-04-19,CVE-2023-7980,4.7,Moyenne,Corrigée,ACT-017
VUL-0031,2025-07-02,CVE-2024-6990,3.4,Basse,Corrigée,ACT-044
VUL-0032,2024-07-27,CVE-2024-8904,4.6,Moyenne,Ouverte,ACT-036
VUL-0033,2024-09-16,CVE-2024-6641,6.0,Moyenne,Corrigée,ACT-026
VUL-0034,2025-11-06,CVE-2023-4764,7.6,Haute,En cours,ACT-045
VUL-0035,2024-04-12,CVE-2023-9328,9.5,Critique,En cours,ACT-022
VUL-0036,2025-09-20,CVE-2025-1852,8.2,Haute,Ouverte,ACT-041
VUL-0037,2024-04-03,CVE-2023-8727,1.0,Basse,Corrigée,ACT-028
VUL-0038,2024-09-26,CVE-2023-7075,1.8,Basse,Ouverte,ACT-003
VUL-0039,2025-02-14,CVE-2025-9536,7.5,Haute,Ouverte,ACT-039
VUL-0040,2024-06-28,CVE-2025-9099,1.5,Basse,En cours,ACT-013
VUL-0041,2025-06-14,CVE-2024-4190,8.7,Haute,Ouverte,ACT-039
VUL-0042,2025-12-16,CVE-2023-3776,5.6,Moyenne,Corrigée,ACT-024
